㪕	coek3
㪗	tau2
㬤	jap1
㮇	tim2
㿭	caak3
䀇	gu2
䂻	zaang6
䉲	mi4
䝋	zung1
䝼	cing4
䝼	zing6
䥛	git3
一	jat1
丁	ding1
七	cat1
万	maan6
万	mak6
丈	zoeng6
三	slaam1
上	soeng6
上	soeng5
下	haa6
下	haa5
不	bat1
与	jyu5
丐	koi3
丑	cau2
且	ce2
丕	pi1
世	sai3
丘	jau1
丙	bing2
丞	sing4
丟	diu1
並	bing6
丫	aa1
中	zung3
中	zung1
丰	fung1
串	cyun3
丸	jyun4
丹	daan1
主	zyu2
丽	lai6
乃	naai5
久	gau2
之	zi1
乍	zaa3
乎	wu4
乏	faat6
乖	gwaai1
乘	sing4
乘	sing6
乙	jyut3
九	gau2
乞	hat1
也	jaa5
乱	lyun6
乳	jyu5
乾	kin4
乾	gon1
亂	lyun6
了	liu5
事	si6
二	ji6
于	jyu1
于	jyu4
云	wan4
互	wu6
五	ng5
井	zeng2
些	sle1
亞	aa3
亡	mong4
交	geu1
亥	hoi6
亦	jik6
亨	hang1
享	hoeng2
京	ging1
亭	ting4
亮	loeng6
人	jan4
什	sam6
什	sap6
仁	jan4
仅	gan2
仆	puk1
仇	cau4
仇	kau4
今	gam1
介	gaai3
仍	jing4
从	cung4
仕	si6
他	taa1
仗	zoeng3
仗	zoeng6
付	fu6
仙	slin1
代	doi6
令	ling6
以	ji5
仰	joeng5
仲	zung6
件	gin6
价	gaa3
任	jam4
任	jam6
份	fan6
仿	fong2
企	ki5
伊	ji1
伍	ng5
伏	fuk6
伐	faat6
休	jau1
优	jau1
伙	fo2
伢	ngaa4
伯	baak3
估	gu2
伴	bun6
伶	ling4
伸	san1
伺	ci6
伺	si6
似	ci5
佃	din6
佃	tin4
但	daan6
佈	bu3
位	wai6
低	dai1
住	zyu6
佐	zo2
体	tai2
佔	zim3
何	ho4
佘	se4
余	jyu4
佛	fat6
佛	fat1
作	zok3
佞	ning6
你	ni5
佢	kyu5
佩	pui3
佳	gaai1
併	bing3
使	sai2
使	si3
侄	zat6
來	lai4
侈	ci2
侉	kwaa1
例	lai6
侍	si6
侖	lan4
供	gung1
供	gung3
依	ji1
侮	mu5
侯	hau4
侵	cam1
侷	guk6
便	bin6
便	pin4
係	hai6
促	cuk1
俄	ngo4
俊	zan3
俏	ciu3
俗	zuk6
俘	fu1
保	bu2
俟	si6
俟	ki4
信	slan3
俬	si1
修	slau1
俯	fu2
俱	gyu6
俸	fung6
俾	bi2
倉	cong1
個	go3
倍	pui5
倒	du3
倒	du2
倔	gwat6
倖	hang6
倘	tong2
候	hau6
倚	ji2
借	ze3
倡	coeng1
倦	gyun6
倪	ngai4
倫	lan4
倭	wo1
值	zik6
假	gaa3
假	gaa2
偉	wai5
偏	pin1
做	zu3
停	ting4
健	gin6
側	zak1
偵	zing1
偶	ngau5
偷	tau1
偽	ngai6
傀	kwai2
傀	gwai1
傅	fu6
傍	bong6
傍	pong4
傑	git6
傘	slaan3
備	bi6
傢	gaa1
催	cui1
傲	ngu6
傳	zyun6
傳	cyun4
債	zaai3
傷	soeng1
傻	slo4
傾	king1
僅	gan2
像	zoeng6
僑	kiu4
僕	buk6
僞	ngai6
僥	hiu1
僧	zang1
僱	gu3
僵	goeng1
價	gaa3
僻	pik1
儀	ji4
儁	zan3
儂	nung4
億	jik1
儉	gim6
儒	jyu4
儘	zan6
償	coeng4
儡	lui5
優	jau1
儲	cyu4
儼	jim5
儿	ji4
儿	jan4
允	wan5
元	jyun4
兄	hing1
充	cung1
兆	ziu6
兇	hung1
先	slin1
光	gong1
克	hak1
兌	dui3
免	min5
兑	dui3
兒	ji4
兔	tu3
兗	jin5
党	dong2
兜	dau1
入	jap6
內	nui6
全	cyun4
兩	loeng5
兩	loeng2
八	bet3
公	gung1
六	luk6
兮	hai4
共	gung6
兵	bing1
其	ki4
具	gyu6
典	din2
兼	gim1
冀	gi3
冉	jim5
冊	caak3
再	zoi3
冒	mu6
冗	jung2
冠	gun3
冠	gun1
冢	zung2
冤	jyun1
冬	dung1
冰	bing1
冷	laang5
冷	laang1
准	zan2
凈	zing6
凌	ling4
凍	dung3
凝	ning4
几	gi1
凡	faan4
凱	hoi2
凳	dang3
凶	hung1
出	cyut1
函	haam4
刀	du1
刁	diu1
刃	jan6
分	fan6
分	fan1
切	cit3
切	cai3
刈	ngaai6
刊	hon2
刎	man5
刑	jing4
划	waa1
列	lit6
初	co1
判	pun3
別	bit6
刨	peu4
利	li6
刪	saan1
刮	gwet3
到	du3
制	zai3
刷	caat3
券	gyun3
刺	ci3
刻	hak1
剁	doek3
剃	tai3
則	zak1
削	sloek3
剋	hak1
前	cin4
剔	tik1
剖	pau2
剛	gong1
剜	wun2
剝	bok3
剩	zing6
剪	zin2
剮	gwaa2
副	fu3
割	got3
創	cong3
剷	cen2
剿	ziu2
劃	waak6
劄	zaap3
劇	kek6
劈	pek3
劉	lau4
劊	kui3
劍	gim3
劐	kok3
劑	zai1
力	lik6
功	gung1
加	gaa1
劣	lyut3
助	zo6
努	nu5
劫	gip3
勁	ging3
勁	ging6
勃	but6
勇	jung5
勉	min5
勒	lak6
動	dung6
勘	ham3
務	mu6
勛	wan1
勝	sing3
勝	sing1
勞	lu4
募	mu6
勢	sai3
勤	kan4
勳	wan1
勵	lai6
勸	hyun3
勺	soek6
勻	wan4
勾	ngau1
勿	mat6
包	beu1
匆	cung1
化	faa3
北	bak1
匙	ci4
匙	si4
匠	zoeng6
匡	kwaang1
匣	haap6
匪	fi2
匯	wui6
匹	pat1
匾	ben2
