一	jat1
丁	deng1
丁	ding1
七	cat1
万	maan6
万	mak6
丈	zoeng6
三	slaam1
上	soeng5
上	soeng6
下	haa5
下	haa6
不	bat1
与	jyu5
丏	min5
丐	koi3
丑	cau2
且	ce2
丕	pi1
世	sai3
丘	jau1
丙	bing2
丞	sing4
丟	diu1
並	bing6
丫	aa1
中	zung1
中	zung3
丰	fung1
串	cyun3
丸	jyun4
丹	daan1
主	zyu2
丼	dam2
丼	zeng2
丼	zing2
丽	lai6
乂	ngaai6
乃	naai5
久	gau2
么	jiu1
么	maa1
么	mo1
之	zi1
乍	zaa3
乎	wu4
乏	faat6
乒	bing1
乓	baang1
乖	gwaai1
乘	sing4
乘	sing6
乙	jyut3
乜	mat1
乜	me1
九	gau2
乞	hat1
也	jaa5
乩	gi1
乱	lyun6
乳	jyu5
乸	naa2
乾	gon1
乾	kin4
亂	lyun6
了	liu5
予	jyu4
予	jyu5
事	si6
事	sy6
二	ji6
亍	cuk1
于	jyu1
于	jyu4
云	wan4
互	wu6
亓	ki4
五	ng5
井	zeng2
井	zing2
亙	gang2
些	sle1
亞	aa3
亟	gik1
亟	ki3
亡	mong4
亢	gong1
亢	kong3
交	gaau1
交	geu1
亥	hoi6
亦	jik6
亨	hang1
享	hoeng2
京	ging1
亭	ting4
亮	loeng6
亯	hoeng2
人	jan4
什	sam6
什	sap6
仁	jan4
仁	ngan4
仃	ding1
仄	zak1
仅	gan2
仆	fu6
仆	puk1
仇	cau4
仇	kau4
仉	zoeng2
今	gam1
介	gaai3
仍	jing4
从	cung4
仔	zai2
仔	zi2
仔	zy2
仕	si6
仕	sy6
他	taa1
仗	zoeng3
仗	zoeng6
付	fu6
仙	slin1
仝	tung4
仞	jan6
仟	cin1
仡	go1
仡	ngat6
代	doi6
令	ling6
以	ji5
仨	slaam1
仫	muk6
仰	joeng5
仰	ngong5
仲	zung6
仳	pi2
仵	ng5
件	gin6
价	gaa3
任	jam4
任	jam6
份	fan6
仿	fong2
企	ki5
伈	slam2
伉	kong3
伊	ji1
伋	kap1
伍	ng5
伎	gi6
伏	buk6
伏	fuk6
伐	faat6
休	jau1
伕	fu1
优	jau1
伙	fo2
伢	ngaa4
伭	jyun4
伯	baak3
估	gu2
伴	bun6
伴	pun5
伶	ling4
伸	san1
伺	ci6
伺	cy6
伺	si6
伺	sy6
似	ci5
似	cy5
伽	gaa1
伽	ke4
伾	pi1
伿	ji6
佃	din6
佃	tin4
但	daan6
佇	cyu5
佈	bu3
佉	kyu1
佌	ci2
佌	cy2
位	wai2
位	wai6
低	dai1
住	zyu6
佐	zo2
佑	jau6
体	tai2
佔	zim3
何	ho4
佖	bit1
佗	to4
佘	se4
余	jyu4
佚	jat6
佛	fat1
佛	fat6
作	zok3
佝	kyu1
佞	ning6
佟	tung4
你	ni5
佢	kyu5
佣	jung2
佣	jung6
佤	ngaa5
佩	pui3
佬	lu2
佮	gap3
佯	joeng4
佰	baak3
佳	gaai1
併	bing3
佸	wut6
佹	gwai2
佺	cyun4
佻	tiu1
佼	gaau2
佼	geu2
佽	ci3
佽	cy3
佾	jat6
使	sai2
使	si2
使	si3
侁	slan1
侂	tok3
侃	hon2
侄	zat6
來	lai4
來	loi4
侈	ci2
侉	kwaa1
例	lai6
侍	si6
侏	zyu1
侑	jau6
侔	mau4
侖	lan4
侖	lyun4
侗	dung6
侗	tung4
侘	caa3
供	gung1
供	gung3
依	ji1
侮	mu5
侯	hau4
侵	cam1
侶	lyu5
侷	guk6
便	bin2
便	bin6
便	pin4
俁	jyu5
係	hai6
促	cuk1
俄	ngo4
俅	kau4
俇	gwaang6
俊	zan3
俍	loeng4
俎	zo2
俏	ciu3
俐	li6
俑	jung2
