平		铧蚶蟾嵌肮穰羌裳礓汆椽闩膻蔫掮缲扔塍铛粳莳肨揪锛皴畦秸兮嵩
	2	搛
	21	华划椰爷佘蛇邪斜爬琶杷霞遐茬查麻拿茶搽牙芽衙凡蚕函含潭谭男南惭谈痰蓝篮严盐潜阎檐艳廉镰帘钳咸谗馋癌搀衔岩嫌甜黄簧皇蝗凰隍蟥王房防亡芒妨狂旁螃膀藏行航杭堂棠螳唐糖塘忙茫郎廊狼螂榔囊滂昂裆墙羊洋烊杨阳扬疡床瓤良凉量粮梁粱娘长肠场常尝偿强详祥翔盘桓完团馒瞒銮圆员全泉沿缘铅传拳权颧船旋袁辕园援猿烦繁矾元原源还环顽玄悬残寒韩檀坛弹鼾兰拦栏难便钱延筵然燃绵棉连联鲢缠蝉禅乾虔涎言犍蛮颜闲前贤弦舷田填眠怜莲年研袍曹槽豪壕毫号桃逃淘陶萄熬毛劳牢痨瓢嫖樵瞧摇谣窑姚遥饶苗描燎朝潮韶召乔侨桥荞翘刨肴淆巢坳茅锚挠条调聊辽撩僚嘹尧弘朋鹏曾层恒腾誊藤疼楞能凭仍陵凌菱绫澄惩凝承丞乘绳婆和禾磨馍骡螺脶讹河何荷驼紽驮罗锣箩萝挪蛾鹅俄莹荣营茔琼横宏萤平坪评苹鸣明盟迎擎鲸情晴盈赢名呈程成城诚盛彭膨衡盲虻棚萌氓瓶屏萍形型刑亭停廷庭蜓铭冥螟灵零铃伶龄宁肥微为危垂随维惟遗尿绥槌锤谁逵葵慈磁鹚而厘狸持疑时其棋期旗麒辞词祠沂祈皮疲脾疵移儿糜弥䉲离篱池驰踟宜仪匙奇岐歧骑琵枇瓷糍夷眉楣霉梨蜊尼呢迟祁鳍庞降扛侯喉猴头投楼尤邮由油游犹浮愁柔揉矛谋流刘留榴硫琉绸稠筹牛酬仇求球囚泅淫岑壬任林淋临沉吟琴禽擒寻盆存魂馄浑屯豚臀门论仑云耘焚坟文纹闻群裙匀荀伦轮纯醇唇旬循巡痕勤芹贫频秦寅人仁民邻鳞燐磷陈尘银辰晨臣神培陪赔裴回茴颓梅枚玫媒煤脢莓雷擂魁桅怀槐淮携奎才材财裁孩台苔抬来呆篺鞋柴涯崖挨排谐豺埋脐齐题提蹄啼迷犁黎泥倪霓堤蓬篷丛红洪鸿虹同铜桐筒童瞳蒙笼聋胧农脓侬雄熊融冯崇戎绒隆虫穷从容蓉镕溶榕熔逢缝茸龙浓重松菩脯葡乎胡湖狐壶葫蝴徒屠途涂图模摹卢炉芦鸬奴蜈吾梧吴盂榆逾愉符扶芙雏无儒厨橱愚虞娱殊瞿余锄如庐驴除鱼渔渠徐
	24	鸾橙翎搂肫闽牌糊储佢
	3	凹
	33	杉尴钢拼看扇燕泡筲鞘教罾胜过阿茎围违茨飕禁喷驯蓖纵
	35	掩丸豌剜刊竿杆扳艘妖跑捎颇茄萎搜纠龚蒲淤
	5	馊
	53	蛙洼花夸瓜蜗奢赊些车爹遮叉杈差蛤巴芭疤笆楂渣鸦丫桠妈蟆虾哈沙纱家加痂嘉帆庵鹌参堪龛耽簪贪酣三憨担甘柑泔坍淹阉纤粘签沾瞻占尖歼衫监鲇拈谦掂兼添汪荒慌光胱芳匡筐眶框方肪坊帮桑丧芒仓苍舱康糠当铛赃脏冈岗刚纲缸汤商伤疮庄装妆央秧殃鸯相箱厢湘镶昌菖香乡枪霜孀张章樟将浆疆僵姜缰般搬酸欢宽潘端钻官棺观冠捐宣川穿圈专砖藩冤鸳喧弯湾拴栓关渊鹃安鞍珊餐丹单干肝滩摊瘫鞭编焉仙鲜迁千篇偏毡煎轩掀班斑颁攀删奸山艰间边蝙烟胭先牵颠癫笺肩坚天涛褒骚臊搔蒿薅捞唠操刀叨糟遭高膏篙羔糕滔掏烧膘标邀腰要超消宵霄硝销逍猫嚣锹蹻飘漂朝招昭焦蕉椒骄娇抄钞包胞苞抓敲抛脬梢嘲交郊胶茭幺吆萧箫鹩刁貂雕浇挑崩僧登灯曾增憎升蝇冰应鹰称兴征蒸波菠倭窝涡莴蓑梭唆莎魔摩啰科蝌棵玻坡戈锅靴苛阿搓多歌哥他它拖兄倾轰兵英卿京荆惊声婴缨侦清轻贞正精晶睛撑亨哼坑烹生牲笙甥更庚羹绷争筝睁鹦樱莺耕星腥猩馨拎青蜻丁钉疔经听厅威妃徽挥辉归非飞吹炊麾亏窥规虽荽衰追锥龟诗辎医痴司丝思嗤嬉熙欺之芝兹滋基衣依希稀几机讥饥施碑卑斯厮撕眵牺璃雌披知蜘支枝肢栀奇尸姨悲伊私丕纰师狮蛳脂资姿咨肌窗邦夯腔双桩江豇肛欧瓯鸥抠兜沟勾钩偷收悠搊邹优忧抽修羞休鳅秋丘蚯周舟州洲鸠阄彪幽丢深音阴心侵钦森砧针斟今金襟蹲饨奔温瘟孙昏婚村坤敦墩尊昆蚊芬纷熏勋荤君军分吩椿春鹑遵均钧恩跟根吞殷欣斤筋身申伸娠宾槟因姻辛新薪亲珍真津巾臻杯煨灰催崔恢盔胚坯堆推歪乖圭闺苔埃哀腮鳃猜开灾栽该胎钗筛佳街斋挨揩皆阶奚栖西犀妻凄溪批低鸡稽梯翁烘聪匆葱囱空东棕鬃公蚣工功攻通松冬宗丰充窿冲中忠衷终弓躬宫风枫疯舂庸痈壅臃峰蜂锋胸匈凶钟盅踪恭供封乌污苏酥模呼粗枯铺都租姑孤鸪辜箍输于迂巫诬须需敷俘孵麸枢吁趋区驱诛蛛株朱珠驹拘俱夫肤书舒初虚嘘蛆圩梳疏蔬猪诸居
上		簟幌磉攒辇笕戥颗迥揣檩忖窘冗
	21	傻下夏厦范犯撼俨渐舰晃荡痒丈仗杖上象像橡伴拌篆掸辨辩善键限造浩道稻祷挠赵兆肇绍杳瞭祸堕惰舵静靖逞杏幸并锭唯跪士仕痔恃靡是氏技妓后吼负阜肘受品甚葚笨混囤沌盾尽罪汇傀在亥待怠殆崽攋陛荠弟动蠓笼奉部杜与褚巨序叙禹聚愈父腐拄竖树
