tɔ55	do1
thɔ55	to1
tha55	taa1
tha55	taa1
thɔ21	to4
thɔ21	to4
thɔ21	to4
thɔ22	to6
tai22	daai6
thɔ21	to4
nɔ21	no4
na35	naa2
na24	naa5
lɔ21	lo4
lɔ21	lo4
lɔ21	lo4
lɔ21	lo4
tʃɔ35	zo2
tʃɔ35	zo2
tʃu33	zu3
tʃhɔ55	co1
kɔ55	go1
kɔ55	go1
kɔ33	go3
hɔ35	ho2
khɔ55	ko1
ŋɔ21	ngo4
ŋɔ21	ngo4
ŋɔ21	ngo4
ŋɔ24	ngo5
ŋɔ21	ngo4
hɔ21	ho4
hɔ21	ho4
hɔ21	ho4
hɔ21	ho4
khɔ55	ko1
hɔ22	ho6
øɔ55	o1
øa33	aa3
khɛ21	ke4
pɔ55	bo1
pɔ55	bo1
pɐi55	bai1
pɔ33	bo3
pɔ33	bo3
pɔ33	bo3
phɔ33	po3
phɔ55	po1
pɔ55	bo1
phɔ33	po3
phɔ21	po4
pɔk2	bok6
mɔ55	mo1
mɔ21	mo4
mɔ55	mo1
mɔ55	mo1
mɔ21	mo4
tœ35	doe2
tɔ35	do2
tɔ35	do2
tœk3	doek3
thɔ24	to5
thɔ22	to6
tɔ22	do6
tɔ22	do6
nɔ22	no6
nɔ22	no6
lɔ21	lo4
lɔ21	lo4
lɔ21	lo4
lɔ55	lo1
lɔ24	lo5
tʃhɔ33	co3
tʃhɔ33	co3
tʃhɔ24	co5
tʃɔ22	zo6
ʃɔ55	so1
ʃɔ55	so1
ʃɔ55	so1
ʃa55	saa1
ɬɔ35	slo2
ɬɔ35	slo2
kɔ33	go3
kɔ55	go1
kɔ55	go1
kɔ35	go2
kɔ35	go2
kɔ35	go2
kɔ33	go3
wɔ55	wo1
phɔ55	po1
fɔ55	fo1
fɔ35	fo2
fɔ33	fo3
mɔ22	mo6
fɔ35	fo2
fɔ35	fo2
fɔ35	fo2
fɔ33	fo3
wɔ21	wo4
wɔ21	wo4
wɔ24	wo5
wɔ21	wo4
wɔ21	wo4
wɔ55	wo1
wɐt5	wat1
wɔ55	wo1
wɔ55	wo1
wɔ55	wo1
wɔ55	wo1
hœ55	hoe1
pa55	baa1
pa55	baa1
pa55	baa1
pa55	baa1
pa35	baa2
pa33	baa3
pa35	baa2
pa33	baa3
pa33	baa3
pa55	baa1
pha33	paa3
phak3	paak3
pha21	paa4
pha21	paa4
pha21	paa4
pha21	paa4
ma21	maa4
ma21	maa4
mou55	mou1
ma55	maa1
ma24	maa5
ma24	maa5
ma22	maa6
na21	naa4
tʃha21	caa4
tʃha21	caa4
tʃa55	zaa1
tʃa55	zaa1
tʃa33	zaa3
tʃa33	zaa3
tʃa33	zaa3
tʃha55	caa1
tʃha55	caa1
tʃha55	caa1
tʃha55	caa1
tʃha33	caa3
tʃha33	caa3
tʃha21	caa4
tʃa33	zaa3
ʃa55	saa1
ʃa55	saa1
ʃa24	saa5
ha22	haa6
ka55	gaa1
ka55	gaa1
ka55	gaa1
ka55	gaa1
ka55	gaa1
ka35	gaa2
ka35	gaa2
ka33	gaa3
ka33	gaa3
ka33	gaa3
ka33	gaa3
ka33	gaa3
ka33	gaa3
kha55	kaa1
ŋa21	ngaa4
ŋa21	ngaa4
ŋa21	ngaa4
ŋa24	ngaa5
ha55	haa1
ha55	haa1
ha55	haa1
hak3	haak3
ha21	haa4
ha21	haa4
ha55	haa1
ha22	haa6
ha22	haa6
ha22	haa6
ha22	haa6
ha22	haa6
ha22	haa6
∅a55	aa1
∅a55	aa1
∅a55	aa1
∅a35	aa2
∅a33	aa3
tʃɛ35	ze2
tʃɛ33	ze3
tʃhɛ35	ce2
tʃhɛ33	ce3
ɬɛ55	sle1
ɬɛ35	sle2
ɬɛ33	sle3
ɬɛ33	sle3
tʃhɛ21	ce4
tʃhɛ21	ce4
