A股	A<s>gu2
AA制	AA<s>zai3
AB角	AB<s>gok3
AB制	AB<s>zai3
ATM機	ATM<s>gi1
B超	B<s>ciu1
B股	B<s>gu2
B淋巴細胞	B<s>lam4<s>baa1<s>slai3<s>baau1
B細胞	B<s>slai3<s>baau1
BP機	BP<s>gi1
DNA芯片	DNA<s>slam1<s>pin3
IP地址	IP<s>di6<s>zi2
IP電話	IP<s>din6<s>waa6
IP卡	IP<s>kaa1
K粉	K<s>fan2
K金	K<s>gam1
K歌	K<s>go1
K線	K<s>slin3
PC機	PC<s>gi1
Q版	Q<s>baan2
SIM卡	SIM<s>kaa1
SOS兒童村	SOS<s>ji4<s>tung4<s>cyun1
T型臺	T<s>jing4<s>toi4
T淋巴細胞	T<s>lam4<s>baa1<s>slai3<s>baau1
T細胞	T<s>slai3<s>baau1
T恤衫	T<s>slat1<s>saam1,T<s>slyut1<s>saam1
X刀	X<s>du1
X光	X<s>gong1
X染色體	X<s>jim5<s>sik1<s>tai2
X射線	X<s>se6<s>slin3
X線	X<s>slin3
Y染色體	Y<s>jim5<s>sik1<s>tai2
一罌	aa1<s>aang1
一巴掌	aa1<s>baa1<s>zoeng2
一把	aa1<s>baa2
一把口	aa1<s>baa2<s>hau2
一把手	aa1<s>baa2<s>sau2
一把聲	aa1<s>baa2<s>seng1
一把嘴	aa1<s>baa2<s>zui2
一百一十個	aa1<s>baak3<s>aa1<s>sap6<s>go3
一百一十一	aa1<s>baak3<s>aa1<s>sap6<s>jat1
一百文	aa1<s>baak3<s>man1
一班	aa1<s>baan1
一筆錢	aa1<s>bat1<s>cin4
一邊	aa1<s>ben1
一餅茶滓	aa1<s>beng2<s>caa4<s>zai2
一餅蚊香	aa1<s>beng2<s>man1<s>hoeng1
一包	aa1<s>beu1
一薄	aa1<s>bok6
一幫	aa1<s>bong1
一煲	aa1<s>bu1
一部	aa1<s>bu6
一杯	aa1<s>bui1
一穙	aa1<s>buk6
一本	aa1<s>bun2
