A股	A<s>gu2
AA制	AA<s>zi3
AB角	AB<s>gaak2
AB制	AB<s>zi3
ATM機	ATM<s>gi1
B超	B<s>ciu1
B股	B<s>gu2
B淋巴細胞	B<s>lam4<s>baa1<s>slai3<s>baau1
B細胞	B<s>slai3<s>baau1
BP機	BP<s>gi1
DNA芯片	DNA<s>slam1<s>pin3
IP地址	IP<s>di6<s>zi2
IP電話	IP<s>din6<s>waa6
IP卡	IP<s>kaa1
K粉	K<s>fan2
K金	K<s>gam1
K歌	K<s>go1
K線	K<s>slin3
PC機	PC<s>gi1
Q版	Q<s>baan2
SIM卡	SIM<s>kaa1
SOS兒童村	SOS<s>nji4<s>doeng4<s>cun1
T型臺	T<s>hing4<s>daai4
T淋巴細胞	T<s>lam4<s>baa1<s>slai3<s>baau1
T細胞	T<s>slai3<s>baau1
T恤衫	T<s>slat2<s>saam1
X刀	X<s>daau1
X光	X<s>gung1
X染色體	X<s>njim5<s>sik2<s>tai2
X射線	X<s>se6<s>slin3
X線	X<s>slin3
Y染色體	Y<s>njim5<s>sik2<s>tai2
鴉聲啞啞	aa1<s>sing1<s>iak2<s>iak2
阿Q	aa3<s>Q
亞便	aa3<s>bin6
阿監	aa3<s>gaam3
阿姨	aa3<s>ji4
啊嘛	aa5<s>maa3
挨次	aai1<s>ci3
挨家挨戶	aai1<s>gaa1<s>aai1<s>hu6
挨近	aai1<s>gan5
挨個兒	aai1<s>go3<s>nji4
挨肩搭背	aai1<s>gyun1<s>daap2<s>bui3
哎喲	aai1<s>jo1
唉聲嘆氣	aai1<s>sing1<s>taan3<s>hi3
挨住	aai1<s>zyu6
愛好	aai3<s>haau3
璦琿	aai3<s>wai1
璦琿條約	aai3<s>wai1<s>diu4<s>jiak2
惡霸	aak2<s>baa3
惡毒	aak2<s>doek6
惡貫滿盈	aak2<s>gun3<s>mun5<s>nging4
惡意	aak2<s>ji3
惡劣	aak2<s>lyut5
惡少	aak2<s>siu3
惡心	aak2<s>slam1
惡俗	aak2<s>sloek6
惡化	aak2<s>waa3
惡習	aak2<s>zap6
庵觀	aam1<s>gun3
暗號	aam3<s>haau6
安步當車	aan1<s>bu6<s>daang3<s>gyu1
安分	aan1<s>fan6
安樂	aan1<s>laak5
安娜	aan1<s>naa4
按察使	aan3<s>caat2<s>sai2
晏覺	aan3<s>gaau3
盎格魯-撒克遜人	aang3<s>giak2<s>lu5<s>-<s>slaat2<s>kak2<s>slun3<s>njan4
押解	aap2<s>gaai3
壓扁	aat2<s>ben2
揠苗助長	aat2<s>miu4<s>zo6<s>ziang2
拗折	aau2<s>zyut2
拗句	aau3<s>gyu3
拗口	aau3<s>hau2
拗口令	aau3<s>hau2<s>ling6
懊喪	aau3<s>slaang3
因爲	an1<s>wai6
恩將仇報	an1<s>ziang1<s>sau4<s>baau3
隱藏	an2<s>zaang4
腌臢	ap2<s>zap2
一磅	at2<s>baang6
一盤散沙	at2<s>bun4<s>slaan2<s>saa1
一切	at2<s>cai3
一打	at2<s>daa1
一擔行李	at2<s>daam3<s>hiang4<s>li5
一檔	at2<s>daang3
一條縫	at2<s>diu4<s>foeng6
一馱	at2<s>do6
一分爲二	at2<s>fan1<s>wai4<s>nji6
一夫當關	at2<s>fu1<s>daang1<s>gwaan1
一覺醒來	at2<s>gaau3<s>sling2<s>laai4
一技之長	at2<s>gi6<s>zi1<s>ziang4
一行	at2<s>haang4
一下	at2<s>jaa5
一葉扁舟	at2<s>jip5<s>pin1<s>zau1
一溜	at2<s>liu1
一馬當先	at2<s>maa5<s>daang1<s>slin1
一米	at2<s>mai5
一目瞭然	at2<s>moek5<s>liu5<s>jyun4
一目十行	at2<s>moek5<s>sap6<s>haang4
一抹	at2<s>mut5
一念之差	at2<s>nim6<s>zi1<s>caa1
一年半載	at2<s>nin4<s>bun3<s>zaai2
一年兩造	at2<s>nin4<s>liang5<s>zaau6
一二·九運動	at2<s>nji6<s>gau2<s>wan6<s>doeng6
一泡屎	at2<s>paau1<s>si2
一疋	at2<s>pat2
一矢中的	at2<s>si2<s>zoeng3<s>dik2
一聲不吭	at2<s>sing1<s>bat2<s>hang1
一着不慎	at2<s>ziak6<s>bat2<s>san6
一著不慎	at2<s>ziak6<s>bat2<s>san6
一重重	at2<s>zoeng4<s>zoeng4
一轉	at2<s>zyun3
吧檯	baa1<s>daai4
吧嗒	baa1<s>daap3
吧女	baa1<s>nyu5
吧托	baa1<s>taak2
吧廳	baa1<s>ting1
吧喳	baa1<s>zaa1
吧唧	baa1<s>zik2
吧主	baa1<s>zyu2
爬上	baa4<s>sang5
擺着	baai2<s>ziak6
擺著	baai2<s>ziak6
排檔	baai4<s>daang3
牌坊	baai4<s>fung1
排行	baai4<s>haang4
排憂解難	baai4<s>jau1<s>gaai2<s>naan6
排難解紛	baai4<s>naan4<s>gaai2<s>fan1
唄唱	baai6<s>ciang3
唄讚	baai6<s>zaan3
敗仗	baai6<s>ziang3
辦事處	baan6<s>sai6<s>cyu3
𠳐啷	baang1<s>laang1
膀臂	baang2<s>bi3
膀大腰圓	baang2<s>daai6<s>jiu1<s>jyun4
膀爺	baang2<s>je4
膀子	baang2<s>zi2
磅礡	baang4<s>buk6
膀胱	baang4<s>gung1
傍晌	baang4<s>hiang2
彷徨	baang4<s>hung4
彷徉	baang4<s>jiang4
磅硠	baang4<s>laang4
傍晚	baang4<s>maan5
磅秤	baang6<s>cing3
磅稱	baang6<s>cing3
傍大款	baang6<s>daai6<s>hon2
傍人籬壁	baang6<s>njan4<s>li4<s>bik2
傍人門戶	baang6<s>njan4<s>mun4<s>hu6
磅水	baang6<s>sui2
八馱	baat2<s>do6
八分之	baat2<s>fan6<s>zi1
八下	baat2<s>jaa5
八米	baat2<s>mai5
包藏禍心	baau1<s>zaang4<s>o6<s>slam1
寶號	baau2<s>haau6
寶藏	baau2<s>zaang6
報更	baau3<s>giang1
爆吧	baau6<s>baa1
暴行	baau6<s>hiang4
裨補	bai1<s>bu2
裨補闕漏	bai1<s>bu2<s>kyut2<s>lau6
悲夫	bai1<s>fu4
裨益	bai1<s>ik2
悲咽	bai1<s>jyut2
裨助	bai1<s>zo6
閉塞	bai3<s>slak2
賁門	ban1<s>mun4
奔喪	ban1<s>slaang1
奔走膜唄	ban1<s>zau2<s>mo4<s>baai6
儐相	ban3<s>sliang3
蘋婆	ban4<s>bu4
頻率	ban4<s>lat5
頻數	ban4<s>suk2
朋友間	bang4<s>jau5<s>gaan1
鬅鬙倰	bang4<s>slang4<s>lang4
憑藉	bang4<s>ze3
不便	bat2<s>bin6
筆參造化	bat2<s>caam1<s>zaau6<s>waa3
不當	bat2<s>daang3
不當之處	bat2<s>daang3<s>zi1<s>cyu3
筆調	bat2<s>diu6
不分	bat2<s>fan1
不敢當	bat2<s>gaam2<s>daang1
不教胡馬度陰山	bat2<s>gaau1<s>hu4<s>maa5<s>du6<s>jam1<s>saan1
不吭聲	bat2<s>hang1<s>sing1
不行	bat2<s>hiang4
不興	bat2<s>hing1
不可勝數	bat2<s>ko2<s>sing3<s>su2
篳篥	bat2<s>lat5
嗶哩嗶哩	bat2<s>li1<s>bat2<s>li1
不勝感激	bat2<s>sing3<s>gaam2<s>gik2
不勝其煩	bat2<s>sing3<s>gi4<s>faan4
不勝枚舉	bat2<s>sing3<s>mui4<s>gyu2
不省人事	bat2<s>sling2<s>njan4<s>sai6
不爲所動	bat2<s>wai4<s>slo2<s>doeng6
不斬來使	bat2<s>zaam2<s>laai4<s>sai2
不曾	bat2<s>zang4
不知不覺	bat2<s>zi1<s>bat2<s>kiak2
不祇	bat2<s>zi2
不着邊際	bat2<s>ziak6<s>bin1<s>zai3
不著邊際	bat2<s>ziak6<s>bin1<s>zai3
不着痕跡	bat2<s>ziak6<s>han4<s>zik2
不著痕跡	bat2<s>ziak6<s>han4<s>zik2
不着形跡	bat2<s>ziak6<s>hing4<s>zik2
不著形跡	bat2<s>ziak6<s>hing4<s>zik2
扁平	ben2<s>bing4
扁擔	ben2<s>daam3
扁桃腺	ben2<s>daau4<s>slin3
扁桃體	ben2<s>daau4<s>tai2
扁豆	ben2<s>dau6
扁柏	ben2<s>piak2
扁食	ben2<s>sik6
吡啶	bi2<s>ding6
吡咯	bi2<s>laak2
比率	bi2<s>lat5
比畫	bi2<s>waa6
臂膀	bi3<s>baang2
賁臨	bi3<s>lam4
秘書監	bi3<s>syu1<s>gaam3
琵琶行	bi4<s>baa4<s>hiang4
裨販	bi4<s>faan3
裨海	bi4<s>haai2
皮褸	bi4<s>lau1
疲累	bi4<s>lui6
紕繆	bi4<s>mau6
裨將	bi4<s>ziang3
被單	bi5<s>daan1
被覆	bi5<s>foek2
被褥	bi5<s>njoek5
被窩	bi5<s>o1
被鋪	bi5<s>pu1
被絮	bi5<s>slyu3
被胎	bi5<s>taai1
被套	bi5<s>taau3
被子	bi5<s>zi2
被綁	bi6<s>baang2
被逼	bi6<s>bik2
被打	bi6<s>daa2
被動	bi6<s>doeng6
被加數	bi6<s>gaa1<s>su3
被告	bi6<s>gaau3
鼻觀	bi6<s>gun3
被害	bi6<s>haai6
鼻咽	bi6<s>jyun1
鼻咽癌	bi6<s>jyun1<s>ngaam4
被困	bi6<s>kwan3
被難	bi6<s>naan6
被批評	bi6<s>pai1<s>bing4
被迫	bi6<s>piak2
被殺	bi6<s>saat2
被乘數	bi6<s>sing4<s>su3
百馱	biak2<s>do6
百分率	biak2<s>fan1<s>lat5
百分之	biak2<s>fan6<s>zi1
百廢待興	biak2<s>fi3<s>daai6<s>hing1
百下	biak2<s>jaa5
百米	biak2<s>mai5
百年好合	biak2<s>nin4<s>haau2<s>haap6
白不呲咧	biak6<s>bat2<s>ci1<s>lyut5
白苔	biak6<s>daai4
白雲觀	biak6<s>wan4<s>gun3
白種人	biak6<s>zoeng2<s>njan4
邊塞	bin1<s>saai3
變廢爲寶	bin3<s>fi3<s>wai4<s>baau2
變更	bin3<s>gang1
變易	bin3<s>hik2
變徵	bin3<s>zi2
變種	bin3<s>zoeng2
便便	bin4<s>bin4
便給	bin4<s>kap2
便佞	bin4<s>ning6
便宜	bin4<s>nji4
便旋	bin4<s>slyun4
便秘	bin6<s>bi3
便車	bin6<s>ce1
便當	bin6<s>daang3
便道	bin6<s>daau6
便條	bin6<s>diu4
便飯	bin6<s>faan6
便服	bin6<s>foek6
便衣	bin6<s>ji1
便於	bin6<s>jyu1
便宴	bin6<s>jyun3
便利	bin6<s>li6
辯難	bin6<s>naan6
便溺	bin6<s>nik5
便是	bin6<s>si6
便捷	bin6<s>zit6
兵車行	bing1<s>ce1<s>hiang4
兵來將擋	bing1<s>laai4<s>ziang3<s>daang2
并州	bing1<s>zau1
兵種	bing1<s>zoeng2
餅鐺	bing2<s>ciang1
屏棄	bing2<s>hi3
屏去	bing2<s>hyu3
屏息	bing2<s>slik2
屏息靜氣	bing2<s>slik2<s>zing6<s>hi3
屏退	bing2<s>tui3
屏除	bing2<s>zyu4
屏住	bing2<s>zyu6
屏住呼吸	bing2<s>zyu6<s>hu1<s>kap2
屏絕	bing2<s>zyut6
評彈	bing4<s>daan4
屏風	bing4<s>foeng1
平方米	bing4<s>fung1<s>mai5
蘋果核	bing4<s>go2<s>wat6
平易近人	bing4<s>ji6<s>gan5<s>njan4
平鋪直敍	bing4<s>pu1<s>zik6<s>zyu6
平鋪直敘	bing4<s>pu1<s>zik6<s>zyu6
瓶塞	bing4<s>slak2
屏障	bing4<s>ziang3
觱篥	bit2<s>lat5
𥷑篥	bit2<s>lat5
別稱	bit6<s>cing1
別號	bit6<s>haau6
標識	biu1<s>zi3
表率	biu2<s>slat2
朴槿惠	biu4<s>gan2<s>wai6
朴正熙	biu4<s>zing3<s>hi1
玻璃	bo1<s>li4
般若	bo1<s>nje5
薄荷	bo6<s>ho4
布政使	bu3<s>zing3<s>sai2
埠頭	bu6<s>dau4
部分	bu6<s>fan6
步行	bu6<s>hiang4
部長	bu6<s>ziang2
杯弓蛇影	bui1<s>goeng1<s>se4<s>ing2
背叛	bui3<s>bun6
背道而馳	bui3<s>daau6<s>ji4<s>zi4
背德	bui3<s>dak2
背景	bui3<s>ging2
背過臉去	bui3<s>gu3<s>lim5<s>hyu3
背黑鍋	bui3<s>hak2<s>gu1
背後	bui3<s>hau6
背起	bui3<s>hi2
背棄	bui3<s>hi3
背影	bui3<s>ing2
背約	bui3<s>jiak2
背靠	bui3<s>kaau3
背離	bui3<s>li4
背面	bui3<s>min6
背山面海	bui3<s>saan1<s>min6<s>haai2
背城借一	bui3<s>sing4<s>ze3<s>at2
背信棄義	bui3<s>slan3<s>hi3<s>nji6
背小孩	bui3<s>sliu2<s>haai4
背水一戰	bui3<s>sui2<s>at2<s>zin3
背書包	bui3<s>syu1<s>baau1
背債	bui3<s>zaai3
背着	bui3<s>ziak6
背着手	bui3<s>ziak6<s>sau2
背脊	bui3<s>zik2
